,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
78,900,1000,modis,lst_day_1km,1,1,2,321.07,0.12999999999999545,1,
79,2675,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
80,196,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
81,1331,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
82,363,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
83,274,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
84,4660,1000,modis,lst_day_1km,1,1,2,318.18,0.060000000000002274,1,
85,1117,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
86,111,1000,modis,lst_day_1km,1,1,1,305.36,0.0,1,
87,2085,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
88,3565,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
89,3154,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
90,1075,1000,modis,lst_day_1km,1,1,2,317.88,0.03999999999999204,1,
91,3398,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
92,4757,1000,modis,lst_day_1km,1,1,2,317.66,0.0,1,
93,5007,1000,modis,lst_day_1km,1,1,2,311.68,0.7599999999999909,1,
94,3901,1000,modis,lst_day_1km,1,1,3,309.64000000000004,0.7399099044253099,1,
95,4032,1000,modis,lst_day_1km,1,1,2,313.77,1.1899999999999977,1,
96,3795,1000,modis,lst_day_1km,1,1,2,299.43,0.5099999999999909,1,
97,4504,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
98,208,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
99,1884,1000,modis,lst_day_1km,2,1,2,319.95,0.37000000000000455,1,
100,635,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
101,852,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
102,2490,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
103,3270,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
