,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
70,5035,1000,earthenvhabhet,coefficient_variation,1,1,3,863.3333333333334,138.85564046479672,0,
71,1858,1000,earthenvhabhet,coefficient_variation,1,1,1,508.0,0.0,0,
72,2915,1000,earthenvhabhet,coefficient_variation,1,1,3,758.6666666666666,114.61335970218404,0,
73,1988,1000,earthenvhabhet,coefficient_variation,1,1,2,1190.0,268.0,0,
74,1679,1000,earthenvhabhet,coefficient_variation,1,1,2,1109.5,69.5,0,
75,2477,1000,earthenvhabhet,coefficient_variation,1,1,3,1587.6666666666667,628.3058349420465,0,
76,4662,1000,earthenvhabhet,coefficient_variation,1,1,3,750.3333333333334,107.63312170929956,0,
77,337,1000,earthenvhabhet,coefficient_variation,1,1,3,834.3333333333334,44.58200932613463,0,
78,3008,1000,earthenvhabhet,coefficient_variation,1,1,2,910.5,83.5,0,
79,2044,1000,earthenvhabhet,coefficient_variation,1,1,2,2300.0,253.0,0,
80,4659,1000,earthenvhabhet,coefficient_variation,1,1,2,752.5,53.5,0,
81,3433,1000,earthenvhabhet,coefficient_variation,1,1,2,630.5,83.5,0,
82,5061,1000,earthenvhabhet,coefficient_variation,1,1,3,1943.0,189.3620870184948,0,
83,4067,1000,earthenvhabhet,coefficient_variation,1,1,2,1259.5,87.5,0,
84,2972,1000,earthenvhabhet,coefficient_variation,1,1,3,1366.3333333333333,307.2299175246809,0,
85,4093,1000,earthenvhabhet,coefficient_variation,1,1,2,517.5,6.5,0,
86,1568,1000,earthenvhabhet,coefficient_variation,1,1,3,1117.3333333333333,297.5794945145844,0,
87,4182,1000,earthenvhabhet,coefficient_variation,1,1,4,916.25,85.41479672749915,0,
88,5158,1000,earthenvhabhet,coefficient_variation,1,1,2,471.0,57.0,0,
89,2321,1000,earthenvhabhet,coefficient_variation,1,1,2,666.5,167.5,0,
90,4150,1000,earthenvhabhet,coefficient_variation,1,1,2,1018.5,36.5,0,
91,1766,1000,earthenvhabhet,coefficient_variation,1,1,2,831.5,127.5,0,
92,3204,1000,earthenvhabhet,coefficient_variation,1,1,2,1625.5,265.5,0,
93,779,1000,earthenvhabhet,coefficient_variation,1,1,2,1184.5,68.5,0,
94,2374,1000,earthenvhabhet,coefficient_variation,1,1,2,819.5,153.5,0,
95,3037,1000,earthenvhabhet,coefficient_variation,1,1,3,1147.3333333333333,165.26813230491703,0,
96,1985,1000,earthenvhabhet,coefficient_variation,1,1,2,745.5,13.5,0,
97,4353,1000,earthenvhabhet,coefficient_variation,1,1,3,789.0,120.04443621703867,0,
98,1502,1000,earthenvhabhet,coefficient_variation,1,1,2,787.5,143.5,0,
99,3376,1000,earthenvhabhet,coefficient_variation,1,1,3,1064.6666666666667,118.71628176267801,0,
100,127,1000,earthenvhabhet,coefficient_variation,1,1,3,827.3333333333334,115.04878192411348,0,
101,5074,1000,earthenvhabhet,coefficient_variation,1,1,2,825.5,381.5,0,
102,4280,1000,earthenvhabhet,coefficient_variation,1,1,4,1487.75,189.48664200940394,0,
103,258,1000,earthenvhabhet,coefficient_variation,1,1,1,1525.0,0.0,0,
104,3081,1000,earthenvhabhet,coefficient_variation,1,1,2,1177.0,316.0,0,
105,1463,1000,earthenvhabhet,coefficient_variation,1,1,2,1429.5,92.5,0,
106,461,1000,earthenvhabhet,coefficient_variation,1,1,2,514.0,21.0,0,
107,3614,1000,earthenvhabhet,coefficient_variation,1,1,2,1204.0,282.0,0,
108,2534,1000,earthenvhabhet,coefficient_variation,1,1,2,1091.5,19.5,0,
109,3781,1000,earthenvhabhet,coefficient_variation,1,1,2,1025.5,81.5,0,
110,171,1000,earthenvhabhet,coefficient_variation,1,1,2,599.0,63.0,0,
