system:index,date,id,lat,lng,value,.geo
00000000000000000652,2013-01-03,1619,37.6205791,-122.4813792,0.31104182768292726,
00000000000000000692,2013-01-03,1683,35.562068,-121.0830523,0.20290178029709635,
00000000000000000f40,2013-01-03,3905,37.3789486,-122.1156381,0.21249689722571333,
00000000000000000551,2013-01-04,1362,35.656028747558594,-120.37860870361328,0.3953398581783619,
00000000000000000951,2013-01-04,2386,32.275924,-110.9520782,0.13744933571784113,
0000000000000000098c,2013-01-04,2445,47.1693812,-122.5613737,0.24878502592800827,
000000000000000012d3,2013-01-04,4820,37.260231018066406,-121.95551300048828,0.16756874647095973,
0000000000000000178f,2013-01-04,6032,34.237220764160156,-117.497994,0.27738101388200315,
00000000000000001a5e,2013-01-04,6751,33.749908447265625,-118.0407357,0.41659551231755965,
00000000000000000284,2013-01-05,645,37.3661417,-122.0529266,0.21011143451705303,
00000000000000000326,2013-01-05,807,32.9792922,-115.5301666,0.12019900821023444,
0000000000000000044c,2013-01-05,1101,34.6333845,-120.4617834,0.24130771204130405,
00000000000000000770,2013-01-05,1905,34.352613,-119.3083477,0.29792557910505185,
000000000000000014c4,2013-01-05,5317,33.7676069,-118.1178096,0.1502566900276725,
00000000000000001559,2013-01-05,5466,33.5787745,-117.6772213,0.3560728364347381,
00000000000000002239,2013-01-05,8762,47.5779202,-122.5207758,0.2969925087069811,
0000000000000000240e,2013-01-05,9231,45.5783068,-122.7398211,0.32987903028263194,
000000000000000024ad,2013-01-05,9390,45.4625306,-122.6242465,0.32214266437229655,
0000000000000000270b,2013-01-05,9996,34.4343845,-119.6322823,0.30942187570487206,
00000000000000000840,2013-01-06,2113,38.0514135,-122.1419365,0.4298536080788506,
00000000000000001522,2013-01-06,5411,37.8979869,-122.3053911,0.11574796546907565,
00000000000000000fe3,2013-01-07,4068,37.89006042480469,-122.32462310791016,0.2833291926967999,
000000000000000010ae,2013-01-07,4271,34.2889919,-118.8228035,0.352285966743186,
00000000000000001a17,2013-01-07,6680,49.326900482177734,-123.16529846191406,0.23018704221002054,
00000000000000001fce,2013-01-07,8143,48.4554489,-123.3425617,0.3244048456931564,
00000000000000000caf,2013-01-08,3248,35.1224893,-120.5784458,0.3406554315550862,
00000000000000001168,2013-01-08,4457,47.7748857,-122.5851965,0.36790658118024616,
00000000000000001871,2013-01-08,6258,36.30898666381836,-119.7918534,0.16184302793951727,
00000000000000001873,2013-01-08,6260,34.2572164,-113.9556885,0.10867178291087082,
00000000000000001970,2013-01-08,6513,33.5587287,-111.5298343,0.22472351362596438,
00000000000000000a52,2013-01-09,2643,38.4413029,-120.917347,0.09668730792637287,
00000000000000000aaa,2013-01-09,2731,34.1985927,-118.9999528,0.23798321009049653,
000000000000000012e5,2013-01-09,4838,33.9002956,-117.9000222,0.3757626877870113,
0000000000000000135c,2013-01-09,4957,47.68389129638672,-122.40055847167969,0.31233736694509084,
000000000000000018c5,2013-01-09,6342,39.4977573,-121.5382183,0.17610557321091103,
00000000000000001a4c,2013-01-09,6733,49.247951,-123.241999,0.31980727337772846,
000000000000000001c5,2013-01-10,454,47.2252428,-122.4355111,0.23406428431441756,
000000000000000008c8,2013-01-10,2249,38.5616066,-121.3947034,0.259849060965837,
0000000000000000095c,2013-01-10,2397,34.144371032714844,-117.99968719482422,0.16285868314452737,
000000000000000009ea,2013-01-10,2539,34.46289825439453,-114.341552734375,0.10726575461580298,
00000000000000001111,2013-01-10,4370,34.5157565,-119.7792056,0.16171025824914073,
0000000000000000028c,2013-01-11,653,40.14760208129883,-122.3433155,0.29477379574900026,
00000000000000001445,2013-01-11,5190,37.7378698,-122.2077942,0.20632385687406238,
00000000000000001531,2013-01-11,5426,33.3083623,-111.9893356,0.14294926392100493,
00000000000000001734,2013-01-11,5941,37.8963917,-122.5261289,0.2733143046466941,
0000000000000000003f,2013-01-12,64,36.639062,-120.626238,0.16066415227951897,
00000000000000000067,2013-01-12,104,46.1879054,-123.8403067,0.18787340741026395,
000000000000000002ee,2013-01-12,751,37.9225531,-122.0475177,0.23752101570756406,
000000000000000009fd,2013-01-12,2558,38.3727304,-122.7006569,0.42595257870383485,
00000000000000001dc6,2013-01-12,7623,38.266454,-121.453053,0.30998159834495387,
00000000000000002126,2013-01-12,8487,37.0138511,-122.0732483,0.44965372918584773,
000000000000000021b5,2013-01-12,8630,37.1809443,-122.2680477,0.48329451692477216,
0000000000000000069c,2013-01-13,1693,37.2613713,-122.3257172,0.3429023122398684,
00000000000000000731,2013-01-13,1842,33.7576708,-118.3562828,0.292448656531286,
00000000000000000a24,2013-01-13,2597,55.4483682,-131.8252066,0.6122563036033261,
00000000000000000e75,2013-01-13,3702,33.74720001220703,-118.41200256347656,0.2885887606354253,
00000000000000001dd8,2013-01-13,7641,32.778342,-117.2198569,0.17687701714526424,
00000000000000001e2a,2013-01-13,7723,39.5436413,-123.3803472,0.27092177348234175,
000000000000000023dc,2013-01-13,9181,43.9028077,-123.0067205,0.44993935759458387,
00000000000000002505,2013-01-13,9478,37.8912473,-122.1856499,0.30567292474263247,
00000000000000002541,2013-01-13,9538,37.7573817,-122.3973083,0.16075754519422264,
0000000000000000258b,2013-01-13,9612,38.8054156,-121.1050844,0.32241334308945796,
000000000000000004cb,2013-01-14,1228,40.9087142,-124.0504721,0.08366369786785505,
00000000000000000547,2013-01-14,1352,36.9693939,-122.0140962,0.5264723608207496,
00000000000000001d48,2013-01-14,7497,37.5085686,-122.0650652,-0.024681315947468845,
0000000000000000204d,2013-01-14,8270,38.3215923,-123.0532265,-0.0680177225458807,
00000000000000000deb,2013-01-15,3564,47.50080871582031,-122.2854232788086,0.2725848721819732,
00000000000000001a06,2013-01-15,6663,37.8893104,-122.3105663,0.13574247347885662,
00000000000000002011,2013-01-15,8210,37.2612882,-122.3847253,0.3132131473724911,
00000000000000002529,2013-01-15,9514,45.222207,-123.228711,0.2790923500876789,
