system:index,date,id,lat,lng,value,.geo
0000000000000000028c,2013-01-11,653,40.14760208129883,-122.3433155,0.34408739664428106,
00000000000000001445,2013-01-11,5190,37.7378698,-122.2077942,0.112715473431417,
00000000000000001531,2013-01-11,5426,33.3083623,-111.9893356,0.16651351124374986,
00000000000000001734,2013-01-11,5941,37.8963917,-122.5261289,0.2883757973249798,
0000000000000000003f,2013-01-12,64,36.639062,-120.626238,0.3119698758788909,
00000000000000000067,2013-01-12,104,46.1879054,-123.8403067,0.28904192819933655,
000000000000000002ee,2013-01-12,751,37.9225531,-122.0475177,0.3186312987606151,
000000000000000009fd,2013-01-12,2558,38.3727304,-122.7006569,0.41047581724721616,
00000000000000001dc6,2013-01-12,7623,38.266454,-121.453053,0.395208679815767,
00000000000000002126,2013-01-12,8487,37.0138511,-122.0732483,0.4521026965417333,
000000000000000021b5,2013-01-12,8630,37.1809443,-122.2680477,0.49938527672577643,
0000000000000000069c,2013-01-13,1693,37.2613713,-122.3257172,0.4162532981369634,
00000000000000000731,2013-01-13,1842,33.7576708,-118.3562828,0.29163562434515566,
00000000000000000a24,2013-01-13,2597,55.4483682,-131.8252066,0.3587033072617579,
00000000000000000e75,2013-01-13,3702,33.74720001220703,-118.41200256347656,0.13776684582886242,
00000000000000001dd8,2013-01-13,7641,32.778342,-117.2198569,0.12082249962322013,
00000000000000001e2a,2013-01-13,7723,39.5436413,-123.3803472,0.46849407242244706,
000000000000000023dc,2013-01-13,9181,43.9028077,-123.0067205,0.4104127837546814,
00000000000000002505,2013-01-13,9478,37.8912473,-122.1856499,0.4282497646074879,
00000000000000002541,2013-01-13,9538,37.7573817,-122.3973083,0.16337659080401154,
0000000000000000258b,2013-01-13,9612,38.8054156,-121.1050844,0.31925165348968615,
000000000000000004cb,2013-01-14,1228,40.9087142,-124.0504721,0.40103027983368217,
00000000000000000547,2013-01-14,1352,36.9693939,-122.0140962,0.2278130210162235,
00000000000000001d48,2013-01-14,7497,37.5085686,-122.0650652,-0.059002464205151386,
0000000000000000204d,2013-01-14,8270,38.3215923,-123.0532265,0.14025416924359987,
00000000000000000deb,2013-01-15,3564,47.50080871582031,-122.2854232788086,0.31214136823346283,
00000000000000001a06,2013-01-15,6663,37.8893104,-122.3105663,0.22507540795041103,
00000000000000002011,2013-01-15,8210,37.2612882,-122.3847253,0.37715586005688556,
00000000000000002529,2013-01-15,9514,45.222207,-123.228711,0.4131862930997932,
00000000000000000150,2013-01-16,337,37.0032008,-122.1401644,0.4354314923227057,
0000000000000000029b,2013-01-16,668,34.2341512,-118.8783951,0.23596443497470035,
00000000000000001f7c,2013-01-16,8061,37.4143994,-122.143169,0.30507087724265264,
000000000000000026f0,2013-01-16,9969,45.2469448,-123.1091666,0.36501665841851927,
00000000000000000ae6,2013-01-17,2791,36.8967045,-113.9229903,0.19545016753383146,
00000000000000000f00,2013-01-17,3841,48.4446323,-123.3245373,0.35529090584269746,
0000000000000000161b,2013-01-17,5660,33.781733,-111.8442911,0.1764413241166909,
0000000000000000169e,2013-01-17,5791,34.0392857,-117.1722591,0.32162121983890607,
000000000000000016c6,2013-01-17,5831,33.3568966,-111.8674922,0.19672925950821557,
000000000000000019d9,2013-01-17,6618,33.3566995,-111.9198704,0.19287085536555856,
00000000000000001fda,2013-01-17,8155,40.1563601,-122.2062278,0.3492163542071535,
00000000000000002438,2013-01-17,9273,33.4230548,-111.7097438,0.15666433561677673,
000000000000000006fd,2013-01-19,1790,49.1147462,-121.9725871,0.39746680733006656,
0000000000000000082c,2013-01-19,2093,33.661991119384766,-112.35276794433594,0.17488529958577573,
000000000000000009fc,2013-01-19,2557,34.0457898,-118.4098687,0.42633974465489805,
00000000000000000c83,2013-01-19,3204,46.18782043457031,-123.840253,0.28904192819933655,
0000000000000000130a,2013-01-19,4875,48.394674,-123.6183398,0.43191014919097387,
000000000000000017e3,2013-01-19,6116,33.2121643,-111.8889078,0.20478752152740184,
00000000000000001955,2013-01-19,6486,34.26702880859375,-118.38674926757812,0.21639582781243807,
00000000000000001b41,2013-01-19,6978,33.6864748,-117.9405834,0.24335876496476275,
00000000000000002447,2013-01-19,9288,42.4280974,-124.3991911,0.2541018888933008,
00000000000000000252,2013-01-20,595,34.0334854,-118.4162201,0.23667110738520022,
000000000000000002c9,2013-01-20,714,34.634856,-120.034204,0.29072379143974136,
00000000000000000e5a,2013-01-20,3675,35.346839904785156,-120.8387680053711,0.23154963224062367,
0000000000000000125b,2013-01-20,4700,33.64297866821289,-117.6820068359375,0.2618696518702711,
00000000000000001511,2013-01-20,5394,38.5744743,-121.3551307,0.3389016358330073,
00000000000000001f40,2013-01-20,8001,33.5504617,-117.7084208,0.30445255935540005,
000000000000000005c0,2013-01-21,1473,34.1577035,-117.6668015,0.2709110399105477,
00000000000000000645,2013-01-21,1606,49.255741119384766,-123.12344360351562,0.226201331966892,
000000000000000006b3,2013-01-21,1716,33.7897409,-116.9956398,0.23460604225560697,
00000000000000000852,2013-01-21,2131,35.1223133,-120.5786614,0.24015528805930433,
00000000000000000b84,2013-01-21,2949,37.421409606933594,-122.0704116821289,0.2030837766510908,
