system:index,date,id,lat,lng,value,.geo
000000000000000009be,2013-01-01,2495,36.9585411,-121.7603699,0.29442442909469474,
00000000000000000afe,2013-01-01,2815,36.923942,-121.7939438,0.31351235598354654,
00000000000000000bf1,2013-01-01,3058,48.242437,-122.404702,0.36705361811617654,
00000000000000000c2c,2013-01-01,3117,36.953287,-121.7571616,0.2628635993481399,
00000000000000000f0e,2013-01-01,3855,37.9171302,-122.70138549804688,0.4192417550201826,
00000000000000001230,2013-01-01,4657,36.9345941,-121.6873598,0.3502009819329096,
000000000000000016a9,2013-01-01,5802,33.696721,-116.278747,0.29667537570233027,
00000000000000001b6d,2013-01-01,7022,48.8142161,-123.6525987,0.37260848821397835,
00000000000000001bc8,2013-01-01,7113,34.604593,-118.135215,0.20161784757771653,
00000000000000001c54,2013-01-01,7253,32.40372085571289,-110.99461364746094,0.22569622279993456,
00000000000000001e48,2013-01-01,7753,38.1975848,-122.0809364,0.2425985503778603,
00000000000000001feb,2013-01-01,8172,33.3464949,-114.6861974,0.5703601590027358,
000000000000000021d7,2013-01-01,8664,32.8126408,-117.0321044,0.200903925990474,
0000000000000000227d,2013-01-01,8830,33.730643,-112.535426,0.17301882409776473,
0000000000000000235b,2013-01-01,9052,42.4251865,-124.3875671,0.4663852818541898,
000000000000000025ba,2013-01-01,9659,33.8034921,-116.5008652,0.32236258504724774,
000000000000000025ce,2013-01-01,9679,36.9466679,-121.6986465,0.40842849371558715,
000000000000000025fd,2013-01-01,9726,43.98687744140625,-122.966933,0.33386797662111284,
00000000000000002705,2013-01-01,9990,46.0885138,-122.9385608,0.3074806490767359,
00000000000000000de7,2013-01-02,3560,34.4253085,-119.6650236,0.26387012714418057,
00000000000000001275,2013-01-02,4726,34.429976,-119.651721,0.3796253098026497,
00000000000000001cea,2013-01-02,7403,39.2392107,-121.190995,0.3081148784508818,
0000000000000000210f,2013-01-02,8464,38.803681,-121.3285875,0.285757954683806,
0000000000000000242c,2013-01-02,9261,35.1487074,-120.6536612,-0.06716537796367393,
000000000000000004bc,2013-01-03,1213,35.581923,-121.1208075,-0.20553399312331133,
00000000000000000652,2013-01-03,1619,37.6205791,-122.4813792,0.2706109837967142,
00000000000000000692,2013-01-03,1683,35.562068,-121.0830523,0.3182669801344074,
00000000000000000f40,2013-01-03,3905,37.3789486,-122.1156381,0.282007656430018,
00000000000000000551,2013-01-04,1362,35.656028747558594,-120.37860870361328,0.3886368977112702,
00000000000000000951,2013-01-04,2386,32.275924,-110.9520782,0.16888022111262335,
0000000000000000098c,2013-01-04,2445,47.1693812,-122.5613737,0.28256091940166883,
000000000000000012d3,2013-01-04,4820,37.260231018066406,-121.95551300048828,0.1842653324378986,
0000000000000000178f,2013-01-04,6032,34.237220764160156,-117.497994,0.2341063197777213,
00000000000000001a5e,2013-01-04,6751,33.749908447265625,-118.0407357,0.20402539874149148,
00000000000000000284,2013-01-05,645,37.3661417,-122.0529266,0.22882799402955803,
00000000000000000326,2013-01-05,807,32.9792922,-115.5301666,0.19129357589110557,
0000000000000000044c,2013-01-05,1101,34.6333845,-120.4617834,0.23802221378332375,
00000000000000000770,2013-01-05,1905,34.352613,-119.3083477,0.25320743350755004,
000000000000000014c4,2013-01-05,5317,33.7676069,-118.1178096,0.11968123366086866,
00000000000000001559,2013-01-05,5466,33.5787745,-117.6772213,0.25970758027927054,
00000000000000002239,2013-01-05,8762,47.5779202,-122.5207758,0.32344183125094106,
0000000000000000240e,2013-01-05,9231,45.5783068,-122.7398211,0.08916626871586253,
000000000000000024ad,2013-01-05,9390,45.4625306,-122.6242465,0.2931731289393362,
0000000000000000270b,2013-01-05,9996,34.4343845,-119.6322823,0.3237940722074455,
00000000000000000840,2013-01-06,2113,38.0514135,-122.1419365,0.22115906681455336,
00000000000000001522,2013-01-06,5411,37.8979869,-122.3053911,0.1904731868366855,
00000000000000000fe3,2013-01-07,4068,37.89006042480469,-122.32462310791016,0.01879333147295397,
000000000000000010ae,2013-01-07,4271,34.2889919,-118.8228035,0.3220034645643359,
00000000000000001a17,2013-01-07,6680,49.326900482177734,-123.16529846191406,0.3223615664504517,
00000000000000001fce,2013-01-07,8143,48.4554489,-123.3425617,0.34736155862807316,
00000000000000000caf,2013-01-08,3248,35.1224893,-120.5784458,0.21797202429531914,
00000000000000001168,2013-01-08,4457,47.7748857,-122.5851965,0.32970077431414524,
00000000000000001871,2013-01-08,6258,36.30898666381836,-119.7918534,0.2188546093757282,
00000000000000001873,2013-01-08,6260,34.2572164,-113.9556885,0.12220236641345861,
00000000000000001970,2013-01-08,6513,33.5587287,-111.5298343,0.15365615973819077,
00000000000000000a52,2013-01-09,2643,38.4413029,-120.917347,0.35699817277283713,
00000000000000000aaa,2013-01-09,2731,34.1985927,-118.9999528,0.25938813228720864,
000000000000000012e5,2013-01-09,4838,33.9002956,-117.9000222,0.2686206823685026,
0000000000000000135c,2013-01-09,4957,47.68389129638672,-122.40055847167969,0.2594647311180382,
