"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",37.0539287,-122.024624,2015-09-02,0.2,150,90
"Calypte anna",38.0244092,-119.2529467,2013-07-15,0.161,150,91
"Calypte anna",45.527045,-122.730293,2016-02-27,0.161,150,92
"Calypte anna",37.9903487,-122.2621813,2016-05-03,0.161,150,93
"Calypte anna",45.5539894,-122.540553,2017-02-14,0.161,150,94
"Calypte anna",44.935865,-123.031602,2017-11-13,0.216,150,95
"Calypte anna",38.4273028,-120.9178019,2017-07-03,0.161,150,96
"Calypte anna",36.5134648,-121.9288445,2017-03-11,0.161,150,97
"Calypte anna",43.856627,-122.792512,2013-06-26,0.241,150,98
"Calypte anna",49.1065642,-122.7182504,2017-06-16,0.161,150,99
"Calypte anna",38.679962,-121.114856,2013-12-27,0.161,150,100
"Calypte anna",33.6247796,-117.3079118,2017-05-13,0.161,150,101
"Calypte anna",37.896761,-122.639307,2015-11-07,0.161,150,102
"Calypte anna",35.5491004,-121.075272,2017-06-02,0.161,150,103
"Calypte anna",46.1879054,-123.8403067,2013-01-12,0.161,150,104
"Calypte anna",36.57388,-121.905309,2014-05-05,0.161,150,105
"Calypte anna",38.00094,-122.99514,2014-10-04,0.161,150,106
"Calypte anna",31.4638476,-110.2915657,2016-04-03,0.161,150,107
"Calypte anna",34.4294598,-119.6979561,2017-09-12,0.161,150,108
"Calypte anna",32.1939715,-110.99757,2017-08-11,0.161,150,109
"Calypte anna",34.2759294,-118.547582,2017-02-18,0.161,150,110
"Calypte anna",47.466874,-122.492209,2014-01-05,0.161,150,111
"Calypte anna",34.045282,-118.7388021,2015-11-10,0.161,150,112
"Calypte anna",37.7389359,-122.214084,2015-12-28,0.161,150,113
"Calypte anna",39.738117,-121.862074,2016-01-04,0.161,150,114
"Calypte anna",38.5787477,-121.3413772,2013-02-02,0.161,150,115
"Calypte anna",33.60063,-117.27303,2013-04-12,0.161,150,116
"Calypte anna",48.002766,-122.187284,2013-12-14,0.161,150,117
"Calypte anna",37.0145154,-121.954985,2014-07-24,0.161,150,118
"Calypte anna",47.4831084,-121.7386141,2017-01-28,0.17,150,119
"Calypte anna",32.4983851,-110.9254414,2016-07-08,0.161,150,120
"Calypte anna",34.4065,-119.516153,2017-12-31,0.161,150,121
"Calypte anna",37.3162532,-122.0425165,2016-01-28,0.2,150,122
"Calypte anna",47.6205833,-122.0564307,2013-05-19,0.161,150,123
"Calypte anna",47.5954984,-122.1102181,2014-12-24,0.161,150,124
"Calypte anna",33.6511369,-112.0110708,2015-03-10,0.161,150,125
"Calypte anna",47.5658743,-122.7020127,2017-11-08,0.241,150,126
"Calypte anna",34.0990833,-118.1420267,2013-02-15,0.161,150,127
"Calypte anna",44.564479,-123.293246,2016-02-12,0.161,150,128
"Calypte anna",33.9499283,-117.2667141,2016-06-16,0.161,150,129
"Calypte anna",39.6349559,-121.7647147,2013-12-25,0.161,150,130
"Calypte anna",37.6754649,-122.4409962,2013-03-04,0.161,150,131
"Calypte anna",34.5020716,-119.8307562,2017-06-01,0.161,150,132
"Calypte anna",34.2698784,-118.0329788,2017-05-11,0.161,150,133
"Calypte anna",32.3068431,-110.9014834,2016-04-21,0.241,150,134
"Calypte anna",48.1495825,-123.1544638,2015-09-20,0.161,150,135
"Calypte anna",38.4089457,-122.8380516,2015-01-21,0.161,150,136
"Calypte anna",34.5268536,-118.0542326,2016-09-04,0.161,150,137
"Calypte anna",32.7254251,-116.8968755,2013-06-05,0.193,150,138
"Calypte anna",34.0115208,-117.2824622,2017-07-29,0.161,150,139
"Calypte anna",38.2715177,-122.4591172,2015-12-30,0.161,150,140
"Calypte anna",44.045045,-123.125346,2015-03-30,0.161,150,141
"Calypte anna",47.72935,-122.63116,2017-07-31,0.161,150,142
"Calypte anna",45.4776768,-122.7515638,2017-11-22,0.161,150,143
"Calypte anna",37.7661041,-122.4494022,2014-03-30,0.161,150,144
"Calypte anna",36.250566,-121.800296,2015-07-21,0.161,150,145
"Calypte anna",37.81871,-120.0943042,2013-04-19,0.161,150,146
"Calypte anna",38.5732329,-121.8481636,2016-12-24,0.161,150,147
"Calypte anna",35.0414253,-120.5397928,2014-12-21,0.161,150,148
"Calypte anna",34.4048914,-119.740591,2013-09-09,0.161,150,149
"Calypte anna",38.5636407,-121.4408836,2014-08-23,0.161,150,150
"Calypte anna",35.5668634,-121.1058462,2013-06-19,0.2,150,151
"Calypte anna",31.9994008,-109.2720124,2014-10-13,0.161,150,152
"Calypte anna",48.4193468,-123.3634722,2016-01-27,0.2,150,153
"Calypte anna",36.7657947,-119.8286037,2017-05-13,0.161,150,154
"Calypte anna",34.24804,-119.25924,2014-04-10,0.161,150,155
"Calypte anna",38.6288402,-120.7340491,2015-04-04,0.161,150,156
"Calypte anna",38.2230882,-122.6492241,2016-04-08,0.161,150,157
"Calypte anna",34.2082987,-119.0392779,2014-02-26,0.193,150,158
"Calypte anna",33.145998,-117.290481,2015-01-08,0.161,150,159
"Calypte anna",38.6458357,-121.1163712,2014-12-18,0.161,150,160
"Calypte anna",37.5206189,-120.302682,2013-10-21,0.161,150,161
"Calypte anna",44.8380606,-123.298316,2017-12-31,0.241,150,162
"Calypte anna",34.4361464,-119.6767478,2016-06-05,0.161,150,163
"Calypte anna",38.379447,-121.964395,2016-03-10,0.161,150,164
