"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Baeolophus bicolor",38.6423743,-95.8086348,2014-02-17
"Baeolophus bicolor",39.1444401,-76.4844131,2017-06-13
"Baeolophus bicolor",34.7126374,-76.62009,2016-02-16
"Baeolophus bicolor",39.23067,-83.7891532,2017-04-14
"Baeolophus bicolor",40.3083185,-79.9682164,2014-04-17
"Baeolophus bicolor",40.9536987,-91.8799174,2015-11-27
"Baeolophus bicolor",40.1004383,-92.6586378,2017-12-28
"Baeolophus bicolor",41.7142739,-73.677063,2016-04-29
"Baeolophus bicolor",35.638059,-82.5189999,2015-09-20
"Baeolophus bicolor",31.852181,-88.162929,2017-10-13
"Baeolophus bicolor",41.47062,-75.44605,2015-04-04
"Baeolophus bicolor",40.8368725,-87.3646065,2013-07-01
"Baeolophus bicolor",34.9355919,-81.8564755,2013-03-30
"Baeolophus bicolor",44.0602677,-71.6281128,2017-01-06
"Baeolophus bicolor",35.017223,-85.3425221,2017-04-17
"Baeolophus bicolor",40.8643298,-79.9449831,2017-01-15
"Baeolophus bicolor",35.2540303,-89.5880127,2014-07-04
"Baeolophus bicolor",43.8389922,-88.3370467,2015-03-13
"Baeolophus bicolor",33.3970702,-79.1537368,2014-01-31
"Baeolophus bicolor",30.0878014,-81.7009154,2016-03-15
"Baeolophus bicolor",38.445477,-76.119238,2017-01-15
"Baeolophus bicolor",31.9598815,-81.7652321,2016-03-25
"Baeolophus bicolor",39.0821062,-84.2603302,2015-04-28
"Baeolophus bicolor",39.289834,-86.725911,2016-10-08
"Baeolophus bicolor",35.174829,-83.396917,2013-12-30
"Baeolophus bicolor",35.9641742,-78.9434597,2015-10-31
"Baeolophus bicolor",38.19097,-84.63638,2015-09-05
"Baeolophus bicolor",38.7450759,-77.2371295,2014-02-06
"Baeolophus bicolor",33.86988,-84.230138,2016-12-25
"Baeolophus bicolor",38.8576389,-76.5754366,2015-02-15
"Baeolophus bicolor",28.8487315,-82.2681389,2014-02-16
"Baeolophus bicolor",43.1337619,-75.6569678,2014-04-17
"Baeolophus bicolor",37.9485463,-91.8337083,2013-06-09
"Baeolophus bicolor",38.6318909,-78.6902618,2014-10-21
"Baeolophus bicolor",36.182173,-85.4987383,2015-12-24
"Baeolophus bicolor",37.3138695,-78.4414977,2017-01-23
"Baeolophus bicolor",40.6558992,-80.1596189,2014-11-20
"Baeolophus bicolor",40.23165,-77.13735,2014-11-14
"Baeolophus bicolor",34.3274302,-84.5778179,2017-01-17
"Baeolophus bicolor",41.0755806,-72.4415894,2017-06-03
"Baeolophus bicolor",42.9160179,-85.6516698,2017-12-30
"Baeolophus bicolor",32.26027,-86.75937,2017-05-29
"Baeolophus bicolor",44.688035,-68.61548,2016-07-24
"Baeolophus bicolor",31.455555,-85.209442,2013-05-26
"Baeolophus bicolor",31.4187754,-86.4697838,2015-04-01
"Baeolophus bicolor",34.1163525,-84.3557739,2014-01-09
"Baeolophus bicolor",42.3182089,-71.7841721,2014-05-29
"Baeolophus bicolor",33.0746784,-79.7631372,2017-02-06
"Baeolophus bicolor",39.1160147,-77.4028112,2016-02-20
"Baeolophus bicolor",36.5912592,-93.304245,2013-03-09
"Baeolophus bicolor",43.724779,-73.3654453,2015-04-08
"Baeolophus bicolor",34.2439026,-77.918663,2016-03-16
"Baeolophus bicolor",43.6294902,-72.9392624,2014-06-24
"Baeolophus bicolor",31.4756979,-85.6328139,2017-03-26
"Baeolophus bicolor",44.5163409,-89.5159632,2016-01-01
"Baeolophus bicolor",42.929191,-83.188075,2017-09-11
"Baeolophus bicolor",37.0467514,-76.4989185,2016-02-28
"Baeolophus bicolor",27.9907635,-82.5801086,2014-03-24
"Baeolophus bicolor",40.6294739,-79.9348712,2016-12-09
"Baeolophus bicolor",42.6621388,-71.4458621,2015-11-14
"Baeolophus bicolor",42.3069039,-84.4135546,2017-01-05
"Baeolophus bicolor",43.8310595,-71.8721294,2016-08-11
"Baeolophus bicolor",43.870078,-69.98213,2014-05-25
"Baeolophus bicolor",27.2346463,-82.5226235,2017-04-25
"Baeolophus bicolor",31.197494,-84.468767,2017-05-23
"Baeolophus bicolor",39.5259473,-78.7431121,2015-10-14
"Baeolophus bicolor",35.805196,-79.083836,2015-10-22
"Baeolophus bicolor",44.9429846,-84.6720064,2016-04-13
"Baeolophus bicolor",44.1711006,-69.8170665,2014-12-26
"Baeolophus bicolor",41.058813,-74.2619066,2013-11-07
"Baeolophus bicolor",41.1378001,-77.4458939,2016-05-16
"Baeolophus bicolor",38.277122,-85.733585,2016-02-14
"Baeolophus bicolor",44.9901769,-91.8465614,2015-10-24
"Baeolophus bicolor",38.681015,-77.026151,2017-07-08
"Baeolophus bicolor",44.8823036,-85.8064338,2013-12-21
"Baeolophus bicolor",43.0030465,-85.6381783,2016-05-04
"Baeolophus bicolor",43.008956,-76.0102533,2016-01-11
"Baeolophus bicolor",38.980228,-78.535995,2016-12-03
"Baeolophus bicolor",35.4167183,-80.1610753,2015-03-09
"Baeolophus bicolor",33.4580458,-88.8177724,2016-02-28
"Baeolophus bicolor",27.8211854,-82.6345242,2016-08-30
"Baeolophus bicolor",30.3532694,-88.5297079,2017-10-09
"Baeolophus bicolor",43.0968637,-74.7711548,2015-06-28
"Baeolophus bicolor",41.0174547,-80.213027,2017-01-09
"Baeolophus bicolor",43.220869,-77.556857,2016-04-07
"Baeolophus bicolor",40.4067238,-74.7851077,2016-08-22
"Baeolophus bicolor",30.7536676,-84.7250216,2015-01-13
"Baeolophus bicolor",33.95211,-84.48141,2015-04-18
"Baeolophus bicolor",31.018122,-84.374336,2015-07-24
"Baeolophus bicolor",35.5814845,-78.8389367,2017-04-22
"Baeolophus bicolor",40.1363228,-75.5035229,2015-05-03
