event_id,product,variable,s_buff,t_buff,value,stdev,pixel_count,total_scenes,total_value_scenes,notes
716a363c-5f7e-4f17-9be1-b4f8038569ad,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
b72bd178-9f51-4406-9809-fc418bfb2351,modis,lst_day_1km,1000,1,298.23,0.15000000000000568,2,1,1,
d57469f4-269d-4ede-865f-a8cfd2ee5fb2,modis,lst_day_1km,1000,1,301.64,0.2600000000000193,2,1,1,
69117631-8f81-4828-91f4-f2dd5a322eaa,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
e8f83d6d-aa16-4700-9bbf-accbb371710f,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
2af6350a-4d87-4113-aa37-fa9ff59b15af,modis,lst_day_1km,1000,1,291.9,0.09999999999999432,2,1,1,
5a12c31b-78ea-4c02-bf6f-ed21517598fe,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
788f5ebf-bb48-47d8-9c83-2433d80234b9,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
0a78501d-685e-48c2-8011-002c5a34aa33,modis,lst_day_1km,1000,1,302.52,0.0,1,1,1,
70188f7d-13d8-447f-8cfc-298c87ea78c4,modis,lst_day_1km,1000,1,301.15,0.28999999999999204,2,1,1,
862fb7d1-6bd1-4342-9d59-9b80bb535331,modis,lst_day_1km,1000,1,303.6133333333333,0.9716423667630482,3,1,1,
baa8b832-78a0-43c7-8d7d-4673a214a0e3,modis,lst_day_1km,1000,1,301.06666666666666,0.35490217744549063,3,1,1,
97818c16-646c-42cf-9ee2-98902f23043f,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
1f8d2356-dc1c-48ec-a0e5-2e4099e3509d,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
d53fac3b-846a-40db-82a0-77724026deac,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
f7c6dd91-2923-4c7f-97a6-7fa36534e1c8,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
93c3ea94-25ba-491c-a8ee-3fec3f6c33db,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
8501b7f7-b682-44c1-9cdf-d36c2d9c8032,modis,lst_day_1km,1000,1,307.78000000000003,0.0,1,1,1,
0940a72c-6308-42bc-93f5-fb4a67269867,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
18ff4d57-fc2b-458a-b526-274a75ff7819,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
67605908-8053-424d-8484-0e76d6ca786a,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
b8f916f9-9db8-47e3-9bfa-c9e5fb5a2454,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
8403579e-92d0-4eae-99f1-632010c7121c,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
9e270224-144a-4c0e-a830-02b6ac6f31b3,modis,lst_day_1km,1000,1,305.36,0.9200000000000159,2,1,1,
2049be5a-0a2c-4c2c-900a-40ccb9ded75e,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
1bcb3040-5490-428b-9299-79368b13c2ab,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
cd5854a0-8aa0-463f-a90c-a29356080f84,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
eb0799bb-865b-46ee-baa5-e5c49bf8ef1a,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
ce3b75fb-bee8-4fb7-a9f4-0496e5cbd03d,modis,lst_day_1km,1000,1,,,0,1,0,Values masked using quality control flag.
